TIME,NE,SE,SW,NW,Quat.x,Quat.y,Quat.z,Quat.w
0,0.348542,0.349792,0.351875,0.350625,0.000000,-0.000000,0.000000,-1.000000
0,0.349375,0.350625,0.352708,0.351458,0.000000,-0.000000,0.000000,-1.000000
0,0.350521,0.352187,0.354271,0.352604,0.000000,-0.000000,0.000000,-1.000000
0,0.351354,0.352812,0.354687,0.353229,0.000000,-0.000000,0.000000,-1.000000
0,0.35125,0.352708,0.354583,0.353125,0.000000,-0.000000,0.000000,-1.000000
0,0.353542,0.354375,0.356042,0.355208,0.000000,-0.000000,0.000000,-1.000000
0,0.352708,0.353958,0.355625,0.354375,0.000000,-0.000000,0.000000,-1.000000
0,0.354896,0.355938,0.357396,0.356354,0.000000,-0.000000,0.000000,-1.000000
0,0.355104,0.356146,0.357604,0.356563,0.000000,-0.000000,0.000000,-1.000000
0,0.353542,0.354792,0.356667,0.355417,0.000000,-0.000000,0.000000,-1.000000
0,0.353646,0.354896,0.356563,0.355312,0.000000,-0.000000,0.000000,-1.000000
0,0.355625,0.356875,0.358542,0.357292,0.000000,-0.000000,0.000000,-1.000000
0,0.357917,0.359167,0.360833,0.359583,0.000000,-0.000000,0.000000,-1.000000
0,0.356667,0.357917,0.359375,0.358125,0.000000,-0.000000,0.000000,-1.000000
0,0.356042,0.357083,0.358542,0.3575,0.000000,-0.000000,0.000000,-1.000000
0,0.353333,0.354375,0.355833,0.354792,0.000000,-0.000000,0.000000,-1.000000
0,0.354375,0.355208,0.356458,0.355625,0.000000,-0.000000,0.000000,-1.000000
0,0.354792,0.355625,0.356875,0.356042,0.000000,-0.000000,0.000000,-1.000000
0,0.355521,0.356979,0.358646,0.357187,0.000000,-0.000000,0.000000,-1.000000
0,0.355104,0.356563,0.357604,0.356146,0.000000,-0.000000,0.000000,-1.000000
0,0.351875,0.353125,0.354792,0.353542,0.000000,-0.000000,0.000000,-1.000000
0,0.350833,0.352083,0.353333,0.352083,0.000000,-0.000000,0.000000,-1.000000
0,0.351458,0.352708,0.353958,0.352708,0.000000,-0.000000,0.000000,-1.000000
0,0.351562,0.352604,0.353854,0.352812,0.000000,-0.000000,0.000000,-1.000000
0,0.351042,0.352083,0.353333,0.352292,0.000000,-0.000000,0.000000,-1.000000
0,0.349167,0.35,0.351667,0.350833,0.000000,-0.000000,0.000000,-1.000000
0,0.348333,0.349583,0.35125,0.35,0.000000,-0.000000,0.000000,-1.000000
0,0.345625,0.346875,0.348542,0.347292,0.000000,-0.000000,0.000000,-1.000000
0,0.345417,0.346667,0.347917,0.346667,0.000000,-0.000000,0.000000,-1.000000
0,0.344479,0.345313,0.346771,0.345938,0.000000,-0.000000,0.000000,-1.000000
0,0.345625,0.346458,0.3475,0.346667,0.000000,-0.000000,0.000000,-1.000000
0,0.343021,0.344062,0.345313,0.344271,0.000000,-0.000000,0.000000,-1.000000
0,0.346146,0.347187,0.348646,0.347604,0.000000,-0.000000,0.000000,-1.000000
0,0.344062,0.344687,0.346146,0.345521,0.000000,-0.000000,0.000000,-1.000000
0,0.342396,0.343646,0.345313,0.344062,0.000000,-0.000000,0.000000,-1.000000
